!!SBtab DocumentName=' TableType='Compound' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17'
!Identifiers:kegg.compound	!Name	!dG0 (kJ/mol)	!nH	!charge	!nMg	!Note
C00636	C_d_mannos_1_phosphate	-1791.3	12	-1	0	
C00644	C_d_mannitol_1_phosphate	-1793.6	13	-2	0	
C00644	C_d_mannitol_1_phosphate	-1830.7	14	-1	0	
C00673	C_2_deoxy_d_ribose_5_phosphate	-1447.9	9	-2	0	
C00673	C_2_deoxy_d_ribose_5_phosphate	-1486.1	10	-1	0	
C00697	C_nitrogen	18.7	0	0	0	
C00791	C_creatinine	-23.1	7	0	0	
C00794	C_d_sorbitol	-946.4	14	0	0	
C00849	C_ethyl_acetate	-337.6	8	0	0	
C00887	C_nitrous_oxide	104.2	0	0	0	
C00920	C_coa_glutathione	-35.9	50	-1	0	
C01005	C_o_phospho_l_serine	-1360.8	6	-2	0	
C01005	C_o_phospho_l_serine	-1397.5	7	-1	0	
C01013	C_3_hydroxypropanoate	-518.4	5	-1	0	
C01083	C_alphaalpha_trehalose	-1582.8	22	0	0	
C01096	C_d_sorbitol_6_phosphate	-1793.1	13	-2	0	
C01096	C_d_sorbitol_6_phosphate	-1829.8	14	-1	0	
C01112	C_arabinose_5_phosphate	-1598.3	9	-2	0	
C01112	C_arabinose_5_phosphate	-1636.5	10	-1	0	
C01113	C_6_phospho_d_galactose	-1756.8	11	-2	0	
C01113	C_6_phospho_d_galactose	-1793.6	12	-1	0	
C01127	C_4_hydroxy_2_oxoglutaric_acid	-971.8	4	-2	0	
C01236	C_6_phospho_d_glucono_15_lactone	-1746.1	9	-2	0	
C01236	C_6_phospho_d_glucono_15_lactone	-1782.7	10	-1	0	
C01352	C_fadh2	-38.9	33	-2	0	
C01353	C_hco3_	-527.8	0	-2	0	
C01353	C_hco3_	-586.8	1	-1	0	
C01353	C_hco3_	-606.3	2	0	0	
C01384	C_maleic_acid	-592.1	2	-2	0	
C01412	C_butanal	-129.9	8	0	0	
C01417	C_cyanate	-97.4	0	-1	0	
C01438	C_methane	-34.3	4	0	0	
C01507	C_l_iditol	-944.7	14	0	0	
C01563	C_carbamate	-377.6	2	-1	0	
C01845	C_propan_2_ol	-185.2	8	0	0	
C01847	C_reduced_fmn	-38.9	21	-2	0	
C01879	C_pidolic_acid	-469.1	6	-1	0	
C02037	C_glycylglycine	-520.2	8	0	0	
C02084	C_tetrathionate	-1022.2	0	-2	0	
C02226	C_2_methylmaleate	-600.7	4	-2	0	
C02226	C_2_methylmaleate	-636.5	5	-1	0	
C02557	C_dl_methylmalonyl_coa	-502.5	35	-5	0	
C02557	C_dl_methylmalonyl_coa	-526.5	36	-4	0	
C02612	C_r_2_methylmalate	-843.9	6	-2	0	
C03196	C_s_2_hydroxyglutarate	-840.2	6	-2	0	
C03232	C_3_phosphonooxypyruvate	-1448.7	2	-3	0	
C03383	C_d_galactono_14_lactone	-905.3	10	0	0	
C03384	C_d_galactose_1_phosphate	-1756.6	11	-2	0	
C03384	C_d_galactose_1_phosphate	-1791.8	12	-1	0	
C04348	C_3s_3_carboxy_3_hydroxypropanoyl_coa	-663.4	35	-5	0	
C04348	C_3s_3_carboxy_3_hydroxypropanoyl_coa	-687.5	36	-4	0	
C05361	C_hydrazine	128.0	4	0	0	
C05379	C_oxalosuccinate	-1138.9	4	-2	0	
C05572	C_4_oxoglutaramate	-595.9	6	-1	0	
C05979	C_propane_1_ol	-175.8	8	0	0	
C05984	C_2_hydroxybutanoic_acid	-506.3	7	-1	0	
C06142	C_1_butanol	-171.8	10	0	0	
C07064	C_lactulose	-1575.2	22	0	0	
C09306	C_sulfur_dioxide	-300.7	0	0	0	
C80045	C_ethane	-17.0	6	0	0	
